IATA,ICAO,Airline,Call sign,Country,Comments
,AVR,"Active Aero Charter, Inc.",ACTIVE AERO,United States,
,AVS,Avialsa T-35,AVIALSA,Spain,
,AVT,Asia Avia Airlines,ASIAVIA,Indonesia,defunct
,AVU,Avia Sud Aérotaxi,AVIASUD,France,
,AVV,Airvantage Incorporated,AIRVANTAGE,United States,
,AVW,Aviator Airways,AVIATOR,Greece,
,AVX,Aviapaslauga,PASLAUGA,Lithuania,defunct
,XXX,ASL (Air Service Liege),,Belgium,
,YRG,Air Yugoslavia,YUGAIR,Serbia,defunct; operations continue under Jat Airways
,ZZM,Agence Nationale des Aerodromes et de la Meteorologie,,Ivory Coast,
,BGF,Aviodetachment-28,BULGARIAN,Bulgaria,
,BGG,Aero BG,AERO BG,Mexico,
,BHC,Aerotaxis De La Bahia,BAHIA,Mexico,
,BIV,Aviaservice,AVIASERVICE,Georgia,
,SZA,Aerolíneas de El Salvador,AESA,El Salvador,defunct
,AVY,"Aerovaradero, S.A.",AEROVARADERO,Cuba,
,AWB,"Airways International, Inc.",AIRNAT,United States,
,AWK,Airwork,AIRWORK,New Zealand,
,AWL,Australian Wetleasing,AUSSIEWORLD,Australia,
,AWO,Awood Air Ltd.,AWOOD AIR,Canada,
,AWR,Arctic Wings And Rotors Ltd.,ARCTIC WINGS,Canada,
,ISM,Auo Airclub AIST-M,STORK,Russia,
,AWS,Arab Wings,ARAB WINGS,Jordan,
,AWV,"Airwave Transport, Inc.",AIRWAVE,Canada,
,AWY,"Aeroway, S.L.",AEROWEE,Spain,
,AXH,Aeromexhaga,AEROMEXHAGA,Mexico,
,AXI,"Aeron International Airlines, Inc.",AIR FREIGHTER,United States,
,AXK,African Express Airways,EXPRESS JET,Kenya,Former IATA code: QA; former ICAO code: AEK; former callsign: AFRICAN EXPRESS
,AXN,Alexandair,ALEXANDROS,Greece,defunct
,AXP,Aeromax,AEROMAX SPAIN,Spain,
,AXQ,Action Airlines (Action Air Charter),ACTION AIR,United States,
,BNI,Alberni Airways,ALBERNI,Canada,
,BNZ,Aerolíneas Bonanza,AERO BONANZA,Mexico,
,BOC,Aerobona,AEROBONA,Mexico,
,BOI,Aboitiz Air,ABAIR,Philippines,renamed to 2GO
,AXR,"Axel Rent, S.A.",RENTAXEL,Mexico,
,AXS,Altus Airlines,ALTUS,United States,
,AXV,Aviaxess,AXAVIA,France,
,AXX,Avioimpex A.D.p.o.,IMPEX,Macedonia,defunct
,AYD,Aladia Airlines,AIRLINES ALADIA,Mexico,defunct
,AYK,Aykavia Aircompany,,Armenia,ICAO code no longer allocated
,AYM,"Airman, S.L.",AIRMAN,Spain,
,NPT,Atlantic Airlines,NEPTUNE,United Kingdom,
,GBN,Atlantic Airlines,ATLANTIC GABON,Gabon,
,HHA,Atlantic Airlines de Honduras,ATLANTIC HONDURAS,Honduras,defunct
,AYN,"Atlantic Airlines, S.A.",ATLANTIC NICARAGUA,Nicaragua,
,AYS,Awsaj Aviation Services,,Libya,ICAO code no longer allocated
,AYT,Ayeet Aviation & Tourism,AYEET,Israel,
,AZB,Azamat,TUMARA,Kazakhstan,defunct
,AZK,Azalhelikopter,AZALHELICOPTER,Azerbaijan,
,AZL,Africa One,SKY AFRICA,Zambia,defunct
,AZM,Aerocozumel,AEROCOZUMEL,Mexico,
,AZP,Arizona Pacific Airways,ARIZONA PACIFIC,United States,
,AZS,Aviacon Zitotrans Air Company,ZITOTRANS,Russia,
,AZT,"Azimut, S.A.",AZIMUT,Spain,
,AZV,Azov Avia Airlines,AZOV AVIA,Ukraine,"defunct, Asov-Avia, Aircompany"
,MHC,Aero Jomacha,AERO JOMACHA,Mexico,
,AZY,"Arizona Airways, Inc.",ARIZAIR,United States,
,AZZ,Azza Transport,AZZA TRANSPORT,Sudan,
,NAR,Air Continental Inc,NIGHT AIR,United States,
,NAU,Antanik-Air,ANTANIK,Ukraine,
,NER,Air Newark,NEWAIR,United States,
,NFF,Aircraft Support and Services,,Lebanon,ICAO code no longer allocated
,OBA,Aerobanana,AEROBANANA,Mexico,
,OBK,Amako Airlines,AMAKO AIR,Nigeria,
,NFS,Afrique CArgo Service Senegal,,Senegal,
,NGC,Angoservice,ANGOSERVICE,Angola,
,NGE,Angel Airlines,ANGEL AIR,Thailand,"defunct, ICAO code no longer allocated"
,NGF,Angel Flight America,ANGEL FLIGHT,United States,Renamed Air Charity Network in 2014[3]
,OUL,Air Atonabee,CITY EXPRESS,Canada,defunct
,OVA,Aero Nova,AERONOVA,Spain,
,XPE,Amira Air,EXPERT,Austria,
,XSS,Aero Express Intercontinental,INTER EXPRESS,Mexico,
,XTJ,Advance Aviation Services,,United States,
,TLR,Air Libya Tibesti,AIR LIBYA,Libya,
,OVC,Aerovic,,Ecuador,
,RVE,Airventure,AIRVENTURE,Belgium,
,RVI,Aero Servicios,AERO SERVICIOS,Mexico,
,RVL,Airvallee,AIR VALLEE,Italy,
,OVE,Aeromover,AEROMOVER,Mexico,
,OVI,Aerovías Ejecutivas,VIAS EJECUTIVAS,Mexico,
,PTD,Aero Servicio Pity,PITY,Mexico,
,PTE,Aero Copter,AERO-COP,Mexico,
,PLL,Air Pal,AIRPAL,Spain,Escuela De Pilots
,PLM,Air Pullmantur,PULLMANTUR,Spain,
,PSG,Aviones Para Servirle,SERVIAVIONES,Mexico,
,SLU,Avio Sluzba,AVIO SLUZBA,Serbia,
,SCU,Air Scorpio,SCORPIO UNIVERS,Bulgaria,
,SIP,Air Spirit,AIR SPIRIT,United States,
,BMV,Alatau Airlines,OLIGA,Kazakhstan,
,GUG,Aviateca,AVIATECA,Guatemala,
,PXX,Aroostook Aviation,PINE STATE,United States,
,PYC,Aeropycsa,AEROPYCSA,Mexico,
,PVK,Association of Private Pilots of Kazakhstan,BORIS,Kazakhstan,ICAO code no longer allocated
,BAS,Aero Services,AEROSERV,Barbados,
,BBE,Ababeel Aviation,BABEL AIR,Sudan,
,BBT,Air Bashkortostan,AGYDAL,Russia,defunct
,MCY,Ambulance Air Africa,MERCY,South Africa,
,PUE,Aeropuelche,PUELCHE,Chile,
,PUT,Aeroput,,Serbia,defunct
,VUE,AD Aviation,FLIGHTVUE,United Kingdom,
,XCT,Aero Costa Taxi Aéreo,AEROCOSTAXI,Mexico,
,VRO,Aerovitro,AEROVITRO,Mexico,
,VRI,Aerotaxi Villa Rica,VILLARICA,Mexico,
,VEG,Aerovega,AEROVEGA,Mexico,
,VVG,Aerovilla,AEROVILLA,Colombia,
,VLR,Aerolíneas Villaverde,VILLAVERDE,Mexico,
,WIL,Aero Air,WILLIAMETTE,United States,
,VEJ,Aero Ejecutivos,VENEJECUTIV,Venezuela,
,WAB,Aero Industries Inc,WABASH,United States,
,VNG,Aero Servicios Vanguardia,VANGUARDIA,Mexico,
,VAD,Aero Taxi Los Valles,VALLES,Spain,
,VMR,Aero Vilamoura,AERO VILAMOURA,Portugal,ICAO code no longer allocated
,VLS,Aero Virel,VIREL,Mexico,
,XAA,Aeronautical Radio Inc,,United States,
,VUO,Aerovuelox,AEROVUELOX,Mexico,
,VTM,Aeronaves TSM,AERONAVES TSM,Mexico,
,XPR,Air-Rep,,United States,
,XLL,Air Excel,TINGA-TINGA,Tanzania,
,VAE,Air Evans,AIR-EVANS,Spain,Ecuela de Pilotos Privados
,WHY,Air Sorel,AIR SOREL,Canada,
,WDR,Air Net Private Charter,WIND RIDER,United States,
,XEC,Air Executive Charter,,Germany,
,VTY,Air Midwest (Nigeria),VICTORY,Nigeria,
,VDR,Air Vardar,VARDAR,Macedonia,
,WLR,Air Walser,AIRWALSER,Italy,
,URA,Aircompany Rosavia,ROSAVIA,Ukraine,
,XLB,Aircraft Performance Group,,United States,
,WLA,Airwaves Airlink,AIRLIMITED,Zambia,
,XFX,Airways Corporation of New Zealand,AIRCORP,New Zealand,
,WAY,Airways,GARONNE,France,
,WGS,Airwings oy,AIRWINGS,Finland,
,XAK,Airkenya,SUNEXPRESS,Kenya,
,WPK,Air-Lift Associates,WOLFPACK,United States,
,VAB,Airtrans Ltd,,Russia,
,URP,ARP 410 Airlines,AIR-ARP,Ukraine,
,WPR,Auckland Regional Rescue Helicopter Trust,WESTPAC RESCUE,New Zealand,
,URR,Aurora Airlines,AIR AURORA,Slovenia,"defunct, ICAO code no longer allocated"
,UST,Austro Aéreo,AUSTRO AEREO,Ecuador,
,WLT,Aviation Partners,WINGLET,United States,
,VLV,Avialift Vladivostok,VLADLIFT,Russia,
,VME,Aviación Comercial de América,AVIAMERICA,Mexico,
,VVA,Aviast Air,IALSI,Russia,defunct
,WLV,Aviation North,WOLVERINE,United States,
,VNT,Avient Air Zambia,AVIENT,Zambia,
,VZR,Aviazur,IAZUR,France,
,VID,Aviaprad,AVIAPRAD,Russia,defunct
,VXX,Aviaexpress Aircompany,EXPRESSAVIA,Ukraine,
,XAM,AMR Services Corporation,ALLIANCE,United States,
,XAO,Airline Operations Services,,United States,
,VAZ,Airlines 400,REMONT AIR,Russia,
,VAM,Ameravia,AMERAVIA,Uruguay,
,VBC,AVB-2004 Ltd,AIR VICTOR,Bulgaria,
,XKX,ASECNA,,France,
,XAT,AT and T Aviation Division,,United States,
,VAI,Avalair,AIR AVALAIR,Serbia,
,VRT,Averitt Air Charter,AVERITT,United States,
,VSA,Avstar Aviation,STARBIRD,South Africa,
,VSC,AVESCA,AVESCA,Colombia,defunct
,XAV,Aviaprom Enterprises,AVIAPROM,Russia,
,VTT,Avia Trans Air Transport,VIATRANSPORT,Sudan,
,VSR,Aviostart AS,AVIOSTART,Bulgaria,
,VTG,Aviação Transportes Aéreos e Cargas,ATACARGO,Angola,
,XJA,Assistance Aeroportuaire de L'Aeroport de Paris,,France,
,XFS,American Flight Service Systems,,United States,
,XME,Australian air Express,AUS-CARGO,Australia,
,XMG,AMS Group,,Russia,
,CAJ,Air Caraibes Atlantique,CAR LINE,France,
,CAO,Air China Cargo,AIRCHINA FREIGHT,China,
,CBE,Aerovías Caribe,AEROCARIBE,Mexico,
,CBO,Aerotaxi del Cabo,TAXI CABO,Mexico,
,CBS,Air Columbus,AIR COLUMBUS,Ukraine,
,CBV,Aereo Cabo,CABOAEREO,Mexico,
,CDA,Aerocardal,CARDAL,Chile,
,CDU,Aerotrans,,Russia,
,CDV,Airline Skol,SKOL,Russia,
,CFF,Aerofan,AEROFAN,Spain,
,CFM,ACEF,ACEF,Portugal,"Transportes Aéreos e Cargas, code no longer allocated"
,CFR,Africa One,,Democratic Republic of the Congo,defunct
,CFV,Aero Calafia,CALAFIA,Mexico,
,CGB,Air Cargo Belize,CARGO BELIZE,Belize,
,CGV,Aero Clube Do Algarve,CLUBE ALGARVE,Portugal,
,CGW,Air Great Wall,CHANGCHENG,China,
,CHJ,Aircompany Chaika,AIR CHAIKA,Ukraine,
,CHR,Air Charter Services,ZAIRE CHARTER,Democratic Republic of the Congo,
,CHV,Air Charter Professionals,CHARTAIR,United States,
,CID,Asia Continental Airlines,ACID,Kazakhstan,"defunct, ICAO code no longer allocated"
,CKL,Aviation Charter Services,CIRCLE CITY,United States,
,CLL,Aerovías Castillo,AEROCASTILLO,Mexico,
,CLP,Aero Club De Portugal,CLUB PORTUGAL,Portugal,
,CMF,Air Care Alliance,COMPASSION,United States,
,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic,defunct
,CNE,Air Toronto,CONNECTOR,Canada,
,CNH,Aquila Air,CHENANGO,United States,
,CNU,Air Consul,AIR CONSUL,Spain,
,CNX,AllCanada Express,CANEX,Canada,defunct
,CPF,Airtechservice,TECHSERVICE,Ukraine,defunct
,CRJ,Air Cruzal,AIR CRUZAL,Angola,
,CRP,Aerotransportes Corporativos,AEROTRANSCORP,Mexico,
,CRQ,Air Creebec,CREE,Canada,
,CTA,Aero Charter and Transport,CHAR-TRAN,United States,
,CTE,Air Tenglong,TENGLONG,China,
,CTR,Aerolíneas Centauro,CENTAURO,Mexico,
,CUO,Aerocuahonte,CUAHONTE,Mexico,
,CWP,Australian Customs Service,COASTWATCH,Australia,
,CYL,Air One Cityliner,CITYLINER,Italy,
,CYO,Air Transport,COYOTE,United States,
,CYE,Aerocheyenne,AEROCHEYENNE,Mexico,
,DAP,Aerovías DAP,DAP,Chile,
,DBA,Air Alpha,DOUBLE-A,United States,
,DBD,Air Niagara Express,AIR NIAGARA,Canada,
,DEF,Aviation Defense Service,TIRPA,France,
,DEG,Air Service Groningen,DEGGER,Netherlands,
,DHM,Archer Aviation,ARCHER,United Kingdom,ICAO code no longer allocated
,DIC,Aeromedica,AEROMEDICA,Mexico,
,DIN,Aerodin,AERODIN,Mexico,
,DJU,Air Djibouti,AIR DJIB,Djibouti,defunct
,DLS,Aero Modelo,AEROMODELO,Mexico,
,DLU,Aerolíneas del Sur,DEL SUR,Chile,defunct
,DMC,Aerodinamica de Monterrey,DINAMICAMONT,Mexico,
,DMI,Aeroservicios Dinamicos,AERODINAMICO,Mexico,
,DML,Aerotaxis Dosmil,,Mexico,
,DNA,Aerodespachos de El Salvador,AERODESPACHOS,El Salvador,
,DNC,Aerodynamics Málaga,FLYINGOLIVE,Spain,
,DNJ,Aerodynamics Incorporated,DYNAJET,United States,
,DRM,Airways Flight Training,DARTMOOR,United Kingdom,
,DRO,Aeronaves Del Noreste,AERONORESTE,Mexico,
,DSC,Addis Air Cargo Services,ADDIS CARGO,Ethiopia,
,DSK,Aero Algarve,SKYBANNER,Portugal,ICAO code no longer allocated
,DST,Aex Air,DESERT,United States,
,DVI,Aero Davinci International,AERO DAVINCI,Mexico,
,DYN,Aero Dynamics,AERO DYNAMIC,United States,
,EAE,Aeroservicios Ecuatorianos,AECA,Ecuador,
,EAP,Aero-Pyrenees,AERO-PYRENEES,France,
,EAT,Air Transport,TRANS EUROPE,Slovakia,
,EBC,Aero Ejecutivo De Baja California,CALIXJET,Mexico,
,ECG,Aero Ejecutivos RCG,EJECTUIVOS RCG,Mexico,
,ECL,Aeronáutica Castellana,AERO CASTELLANA,Spain,
,ECM,Aerolíneas Comerciales,AERO COMERCIALES,Mexico,
,EDA,Aerolineas Nacionales Del Ecuador,ANDES,Ecuador,defunct
,EET,Air Este,AESTE,Spain,
,EFC,Air Mana,FLIGHT TAXI,France,
,EJP,Aeroservicios Ejecutivos Corporativos,EJECCORPORATIVOS,Mexico,
,END,Arrendadora y Transportadora Aérea,ARRENDADORA,Mexico,
,ENW,Aeronaves Del Noroeste,AERONOR,Spain,
,EOL,Airailes,EOLE,France,
,EOM,Aero Ermes,AERO ERMES,Mexico,
,EPL,Aero Transportes Empresariales,EMPRESARIALES,Mexico,
,EPE,Aero Empresarial,AEROEMPRESARIAL,Mexico,
,ERG,Avianergo,AVIANERGO,Russia,defunct
,ERI,Aero Servicios Regiomontanos,ASERGIO,Mexico,
,ERK,Aerosec,AEROSEC,Chile,
,ERM,Aeromaan,EOMAAN,Mexico,
,ESB,Aereosaba,AEREOSABA,Mexico,
,ESO,Avitat,,United Kingdom,
,ESU,Aerolíneas Ejecutivas Del Sureste,ALESUR,Mexico,
,ESZ,Aeronáutica La Esperanza,ESPERANZA,Mexico,
,ETE,Aero Siete,AEROSIETE,Mexico,
,EUK,Air Atlanta Europe,SNOWBIRD,United Kingdom,defunct
,EVE,Air Evex,SUNBEAM,Germany,
,EVR,Aeronautical Academy of Europe,DIANA,Portugal,
,EXG,Air Exchange,EXCHANGE,United States,
,FAC,Atlantic Helicopters,FAROECOPTER,Denmark,
,FAG,Argentine Air Force,FUAER,Argentina,
,FAN,AF-Air International,FANBIRD,Angola,
,FBW,Aviation Data Systems,,United States,
,FCI,Air Carriers,FAST CHECK,United States,
,FCO,Aerofrisco,AEROFRISCO,Mexico,
,FCU,Alfa 4,,Mexico,
,FDA,African Airlines,AIR SANKORE,Mali,
,FDS,African Medical and Research Foundation,FLYDOC,Kenya,
,FGT,Aero Freight,FREIAERO,Mexico,
,FIC,Aerosafin,AEROSAFIN,Mexico,
,FII,Aerodata Flight Inspection,FLIGHT CHECKER,Germany,ICAO code no longer allocated
,FIX,Airfix Aviation,AIRFIX,Finland,
,FLD,Air Falcon,,Pakistan,
,FMT,Air Fret De Mauritanie,,Mauritania,
,FNM,Avio Nord,,Italy,
,FNO,Aeroflota Del Noroeste,RIAZOR,Spain,
,FNX,Aero Fenix,AERO FENIX,France,ICAO code no longer allocated
,FPY,African Company Airlines,AFRICOMPANY,Democratic Republic of the Congo,
,FRJ,Afrijet Airlines,AFRIJET,Nigeria,
,FRK,Afrika Aviation Handlers,AFRIFAST,Kenya,
,FRQ,Afrique Chart'air,CHARTER AFRIQUE,Cameroon,
,FRT,Aerofreight Airlines,,Russia,
,FST,Aeros Limited,FAST TRACK,United Kingdom,ICAO code no longer allocated
,FTC,Air Affaires Tchad,AFFAIRES TCHAD,Chad,
,FTY,ABC Bedarfsflug,FLY TYROL,Austria,
,GAU,Aerogaucho,AEROGAUCHO,Uruguay,
,GBJ,Aero Business Charter,GLOBAL JET,Germany,
,GCF,Aeronor,AEROCARTO,Spain,
,GCK,Aerogem Cargo,AEROGEM,Ghana,defunct
,GFO,Aerovías del Golfo,AEROVIAS GOLFO,Mexico,
,GGL,Aeronáutica,GIRA GLOBO,Angola,
,GHL,Aviance,HANDLING,United Kingdom,Gatwick Handling
,GHN,Air Ghana,AIR GHANA,Ghana,
,GIL,African International Transport,AFRICAN TRANSPORT,Guinea,
,GIZ,Africa Airlines,AFRILENS,Guinea,
,GLL,Air Gemini,TWINS,Angola,
,GLT,Aero Charter,GASLIGHT,United States,
,GME,Aguilas Mayas Internacional,MAYAN EAGLES,Guatemala,
,GMM,Aerotaxis Guamuchil,AEROGUAMUCHIL,Mexico,
,GMS,Aeroservicios Gama,SERVICIOS GAMA,Mexico,
,GOA,Alberta Government,ALBERTA,Canada,
,GRE,Air Scotland,GREECE AIRWAYS,Greece,
,GRI,Air Cargo Center,,São Tomé and Príncipe,
,GRR,Agroar - Trabalhos Aéreos,AGROAR,Portugal,
,GRX,Aircompany Grodno,GRODNO,Belarus,
,GSP,Airlift Alaska,GREEN SPEED,United States,
,GSV,Agrocentr-Avia,AGRAV,Kazakhstan,
,GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret,GOLDEN WINGS,Turkey,
,GTP,Aerotaxi Grupo Tampico,GRUPOTAMPICO,Mexico,
,GUA,Aerotaxis de Aguascalientes,AGUASCALIENTES,Mexico,
,GVI,Air Victoria Georgia,IRINA,Georgia,
,HAT,Air Taxi,TAXI BIRD,France,
,HEI,Aerohein,AEROHEIN,Chile,
,HGH,Atlantic Air Lift,HIGHER,France,
,HID,Aviación Ejecutiva De Hildago,EJECUTIVA HIDALGO,Mexico,
,HJA,Air Haiti,AIRHAITI,Haiti,
,HJT,Al Rais Cargo,AL-RAIS CARGO,United Arab Emirates,
,HKH,Air-Invest,HAWKHUNGARY,Hungary,
,HMA,Air Tahoma,TAHOMA,United States,ICAO code no longer allocated
,HMT,Air Nova,HAMILTON,United Kingdom,ICAO code no longer allocated
,HOM,Aero Homex,AERO HOMEX,Mexico,
,HPO,Almiron Aviation,ALMIRON,Uganda,
,HQO,Avinor,,Norway,
,HYR,Airlink Airways,HIGHFLYER,Ireland,
,IAE,AC Insat-Aero,,Russia,defunct
,ICM,Air Inter Cameroun,INTER-CAMEROUN,Cameroon,
,IFI,Air Lift,HELLAS LIFT,Greece,
,IKM,Aero Survey,EASY SHUTTLE,Ghana,Callsign changed from GHANA SURVEY
,ILK,Aero Airline,ILEK,Kazakhstan,
,IME,Airtime Charters,AIRTIME,United Kingdom,ICAO code no longer allocated
,IMN,Aerotaxis Cimarron,TAXI CIMARRON,Mexico,
,INA,Aero Internacional,AERO-NACIONAL,Mexico,
,ING,Aeroingenieria,AEROINGE,Chile,defunct
,INO,Aeroservicios Intergrados de Norte,INTENOR,Mexico,
,IPL,Airpull Aviation,IPULL,Spain,
,IRD,Arvand Airlines,ARVAND,Iran,
,IRH,Atlas Aviation Group,ATLAS AVIA,Iran,
,IRW,Aram Airline,ARAM,Iran,
,IRX,Aria Tour,ARIA,Iran,
,ITE,Aerotaxi,AEROTAXI,Czech Republic,
,ITF,Avita-Servicos Aéreos,AIR AVITA,Angola,
,ITO,Aero Citro,AERO CITRO,Mexico,
,IVE,Air Executive,COMPANY EXEC,Spain,
,IWS,Aviainvest,,Russia,
,JAD,Aerojal,AEROJAL,Mexico,
,JAR,Airlink,AIRLINK,Austria,
,JEE,Ambjek Air Services,AMBJEK AIR,Nigeria,
,UTX,Avfinity,,United States,
,JMR,Alexandair,ALEXANDAIR,Canada,
,JMX,Air Jamaica Express,JAMAICA EXPRESS,Jamaica,
,JOA,Air Swift Aviation,,Australia,
,JOB,Aerojobeni,JOBENI,Mexico,
,JPR,Aerosmith Aviation,JASPER,United States,ICAO code no longer allocated
,JTS,Arrendamiento de Aviones Jets,AVIONESJETS,Mexico,
,JUA,Aero Juarez,JUAREZ,Mexico,
,KAA,Asia Aero Survey and Consulting Engineers,AASCO,Republic of Korea,ICAO code no longer allocated
,KAD,Air Kirovograd,AIR KIROVOGRAD,Ukraine,
,KAM,Air Mach,ICO-AIR,Italy,
,KAV,Air Kufra,AIRKUFRA,Libya,
,KEK,Arkhabay,ARKHABAY,Kazakhstan,ICAO code no longer allocated
,KFK,Aero Charter Krifka,KRIFKA AIR,Austria,
,KFT,Air Kraft Mir,AIR KRAFT MIR,Uzbekistan,
,KGD,Air Concorde,CONCORDE AIR,Bulgaria,
,KHH,Alexandria Airlines,,Egypt,
,KIE,Afit,TWEETY,Germany,
,KKB,Air South,KHAKI BLUE,United States,
,KLB,Air Mali International,TRANS MALI,Mali,
,KLZ,Aerokaluz,AEROKALUZ,Mexico,
,KOY,Araiavia,ALEKS,Kazakhstan,
,KRE,AeroSucre,AEROSUCRE,Colombia,
,KRT,Air Kokshetau,KOKTA,Kazakhstan,ICAO code no longer allocated
,KSI,Air Kissari,KISSARI,Angola,
,KTN,Aeronavigaciya,AERONAVIGACIYA,Ukraine,
,KVR,Alliance Avia,KAVAIR,Kazakhstan,
,KYC,Av Atlantic,DOLPHIN,United States,
,LAG,Aviation Legacy,AVILEG,Gambia,
,,Aerovías De Lagos,AEROLAGOS,Mexico,Was LAG
,LBI,Albisa,ALBISA,Mexico,
,LBW,Albatros Airways,ALBANWAYS,Albania,
,LDG,Aerolíneas Aéreas Ejecutivas De Durango,DURANGO,Mexico,
,LDN,Al-Donas Airlines,ALDONAS AIR,Nigeria,
,LDR,Aero Lider,AEROLIDER,Mexico,
,LEM,Aleem,,Egypt,
,LET,Aerolíneas Ejecutivas,MEXEJECUTIV,Mexico,
,LFA,Air Alfa,,Turkey,
,LFC,Aero Control Air,LIFE FLIGHT CANADA,Canada,defunct
,LGN,Aerolaguna,AEROLAGUNA,Mexico,
,LHR,Al Ahram Aviation,AL AHRAM,Egypt,
,LIE,Al-Dawood Air,AL-DAWOOD AIR,Nigeria,
,LKP,American Aviation,LAKE POWELL,United States,ICAO code no longer allocated
,LKS,Airlink Solutions,AIRLIN,Spain,
,LKY,Air Solutions,LUCKY,United States,
,LMA,Aerolima,AEROLIMA,Mexico,
,LML,Alamia Air,ALAMIA AIR,Libya,ICAO code no longer allocated
,LMP,Air Plus Argentina,AIR FLIGHT,Argentina,
,LMT,Almaty Aviation,ALMATY,Kazakhstan,
,LMX,Aerolíneas Mexicanas J S,LINEAS MEXICANAS,Mexico,
,LMY,Air Almaty,AGLEB,Kazakhstan,
,LMZ,Air Almaty ZK,ALUNK,Kazakhstan,
,LNK,Airlink,LINK,South Africa,
,LNT,Aerolíneas Internacionales,LINEAINT,Mexico,
,LOK,Alok Air,ALOK AIR,Sudan,
,LOU,Air Saint Louis,AIR SAINTLOUIS,Senegal,
,LPC,Alpine Aviation,NETSTAR,South Africa,
,LRO,Alrosa-Avia,ALROSA,Russia,
,LRW,Al Rida Airways,AL RIDA,Mauritania,
,LSK,Aurela,AURELA,Lithuania,
,LSM,Aerobusinessservice,,Russia,defunct
,LSR,Alsair,ALSAIR,France,
,LTI,Aerotaxis Latinoamericanos,LATINO,Mexico,
,LUC,Albinati Aeronautics,ALBINATI,Switzerland,
,LVN,Aliven,ALIVEN,Italy,
,LVR,Aviavilsa,AVIAVILSA,Lithuania,
,LYT,Apatas Air,APATAS,Lithuania,
,LZP,Air Ban,DOC AIR,Bulgaria,
,LZR,Air Lazur,LAZUR BEE-GEE,Bulgaria,
,MAM,Aeródromo De La Mancha,AEROMAN,Spain,
,MBA,Avag Air,AVAG AIR,Austria,
,MBB,Air Manas,AIR MANAS,Kyrgyzstan,
,MBC,Airjet Exploração Aérea De Carga,MABECO,Angola,
,MBV,Aeriantur-M,AEREM,Moldova,defunct
,MCB,Air Mercia,WESTMID,United Kingdom,
,MCD,Air Medical,AIR MED,United Kingdom,
,MCO,Aerolíneas Marcos,MARCOS,Mexico,
,MDC,Atlantic Aero and Mid-Atlantic Freight,NIGHT SHIP,United States,
,MDX,Aerosud Charter,MEDAIR,South Africa,
,MEF,Air Meridan,EMPENNAGE,Nigeria,
,MFL,Aero McFly,MCFLY,Mexico,
,MGE,Asia Pacific Airlines,MAGELLAN,United States,
,MGS,Aeromagar,AEROMAGAR,Mexico,
,MIE,Aero Premier De Mexico,AEROPREMIER,Mexico,
,MLF,Amal Airlines,AMAL,Djibouti,
,MLN,Air Madeleine,AIR MADELEINE,Canada,
,MMC,Aermarche,AERMARCHE,Italy,
,MMD,Air Alsie,MERMAID,Denmark,
,MMM,Aviation Company Meridian,AVIAMERIDIAN,Russia,
,MMP,AMP Incorporated,AMP-INC,United States,
,MMX,Airmax,PERUMAX,Peru,
,MNE,Aerolíneas Amanecer,AEROAMANECER,Mexico,
,MNG,Aero Mongolia,AERO MONGOLIA,Mongolia,
,MOC,Air Monarch Cargo,MONARCH CARGO,Mexico,
,MOP,Aeropublicitaria De Angola,PUBLICITARIA,Angola,
,MOR,Aerolíneas De Morelia,AEROMORELIA,Mexico,
,MQT,Air ITM,MUSKETEER,France,
,MRL,Aeromorelos,AEROMORELOS,Mexico,
,MRM,Aerocharter,MARITIME,Canada,
,MRP,Abas,ABAS,Czech Republic,
,MSC,Air Cairo,,Egypt,
,MSK,Air Sport,AIR SPORT,Bulgaria,
,MSM,Aeromas,AEROMAS EXPRESS,Uruguay,
,MSO,Aerolíneas Mesoamericanas,MESO AMERICANAS,Mexico,
,MSV,Aero-Kamov,AERAFKAM,Russia,
,MTB,Aerotaxis Metropolitanos,AEROMETROPOLIS,Mexico,
,MTE,Aeromet Línea Aérea,AEROMET,Chile,defunct
,MTK,Air Metack,AIRMETACK,Angola,
,MTY,Air Montegomery,MONTY,United Kingdom,ICAO code no longer allocated
,MXO,Aerotaxi Mexicano,MAXAERO,Mexico,
,MYS,Aero Yaqui Mayo,AERO YAQUI,Mexico,
,MZK,AVC Airlines,,Japan,
,MZL,Aerovías Montes Azules,MONTES AZULES,Mexico,
,NCL,ACA-Ancargo Air Sociedade de Transporte de Carga Lda,ANCARGO AIR,Angola,
,NEL,Aero Servicios de Nuevo Laredo,AEROLAREDO,Mexico,
,NGV,Angoavia,ANGOAVIA,Angola,
,NID,Aeroni,AERONI,Mexico,
,NIE,Aeroejecutiva Nieto,AERONIETO,Mexico,
,NKZ,Aerokuzbass,NOVOKUZNETSK,Russia,
,NRS,Atlantic Richfield Company,NORTH SLOPE,United States,
,NSO,Aerolíneas Sosa,SOSA,Honduras,
,NTD,Aero Norte,,Mexico,
,NTV,Air Inter Ivoire,INTER-IVOIRE,Ivory Coast,
,NUL,Aeroservicios De Nuevo Leon,SERVICIOS NUEVOLEON,Mexico,
,NVI,Avial NV Aviation Company,NEW AVIAL,Russia,
,NWG,Airwing,NORWING,Norway,
,NXA,Air Next,BLUE-DOLPHIN,Japan,
